fold,epoch,f1,precision,recall,loss
1,89,0.9374310374259949,0.9455667734146118,0.9330011010169983,
1,90,0.9403839707374573,0.9478991627693176,0.9368770718574524,
1,91,0.934293270111084,0.9422321915626526,0.930232584476471,
1,92,0.9394611716270447,0.9457494616508484,0.936323344707489,
1,93,0.9365081191062927,0.9424259066581726,0.9335548281669617,
1,94,0.9374309182167053,0.9424902200698853,0.9346622228622437,
1,95,0.9424142241477966,0.9490766525268555,0.9390919208526611,
1,96,0.9392765760421753,0.9472798705101013,0.935215950012207,
1,97,0.9427834153175354,0.9496362805366516,0.9396456480026245,
1,98,0.9411222338676453,0.9484593868255615,0.9374307990074158,
1,99,0.9444447159767151,0.9507830142974854,0.9413067698478699,
1,100,0.942045271396637,0.9495515823364258,0.9379844665527344,
